Genre	Name	TrackId	Popularity	Year	acousticness	analysis_url	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	valence
party	Habibi	6Al8l3qLPUeyUkuRtuSDo1	1	2022	0.0144	https://api.spotify.com/v1/audio-analysis/6Al8l3qLPUeyUkuRtuSDo1	0.555	212911	0.783	0	9	0.265	-5.813	0	0.0591	106.968	4	https://api.spotify.com/v1/tracks/6Al8l3qLPUeyUkuRtuSDo1	0.578
party	Rock Tha Party	0MJCvfI7CV8drZaQlJynYR	40	2016	0.059	https://api.spotify.com/v1/audio-analysis/0MJCvfI7CV8drZaQlJynYR	0.812	211489	0.711	0	8	0.0898	-4.863	1	0.0481	109.972	4	https://api.spotify.com/v1/tracks/0MJCvfI7CV8drZaQlJynYR	0.899
party	Swingin Party	3YYwrOdeMEvmHBWHJ0TmB6	50	2013	0.92	https://api.spotify.com/v1/audio-analysis/3YYwrOdeMEvmHBWHJ0TmB6	0.337	222363	0.245	0.0000256	10	0.119	-13.442	1	0.0384	107.472	4	https://api.spotify.com/v1/tracks/3YYwrOdeMEvmHBWHJ0TmB6	0.107
party	Beach Party	4KtHzBApWqlIGXQMjlljJ9	28	2021	0.0418	https://api.spotify.com/v1/audio-analysis/4KtHzBApWqlIGXQMjlljJ9	0.508	247560	0.602	0.0495	2	0.0952	-9.99	1	0.032	80.011	4	https://api.spotify.com/v1/tracks/4KtHzBApWqlIGXQMjlljJ9	0.925
party	White Noise	4pQyRWJxasoDny2RxiRkda	49	2020	0.00581	https://api.spotify.com/v1/audio-analysis/4pQyRWJxasoDny2RxiRkda	0.707	340268	0.881	0.0015	10	0.353	-7.295	0	0.0525	120	4	https://api.spotify.com/v1/tracks/4pQyRWJxasoDny2RxiRkda	0.854
party	WEST DISTRICT	1xJf1B1Pfl5eVSVV1nwN7j	50	2020	0.00538	https://api.spotify.com/v1/audio-analysis/1xJf1B1Pfl5eVSVV1nwN7j	0.641	303629	0.503	0.000925	1	0.113	-9.007	1	0.0353	94.975	4	https://api.spotify.com/v1/tracks/1xJf1B1Pfl5eVSVV1nwN7j	0.0414
party	Tainted Love	7CiMd31eqfLv5T5t2wy3ij	3	2022	0.106	https://api.spotify.com/v1/audio-analysis/7CiMd31eqfLv5T5t2wy3ij	0.57	156907	0.492	0	0	0.624	-9.112	0	0.0381	143.209	4	https://api.spotify.com/v1/tracks/7CiMd31eqfLv5T5t2wy3ij	0.615
party	Don't You Want Me - Purple Disco Machine Remix	1L4d7HwHGBtzRSBDwbb8O8	0	2022	0.0139	https://api.spotify.com/v1/audio-analysis/1L4d7HwHGBtzRSBDwbb8O8	0.746	210248	0.83	0.0000165	0	0.103	-6.978	1	0.0415	121.007	4	https://api.spotify.com/v1/tracks/1L4d7HwHGBtzRSBDwbb8O8	0.786
party	Walking On Sunshine	2QLS6XnJFfBNPWgdK6K0BW	2	2022	0.00115	https://api.spotify.com/v1/audio-analysis/2QLS6XnJFfBNPWgdK6K0BW	0.592	236627	0.943	0.316	10	0.0735	-7.358	0	0.0389	109.791	4	https://api.spotify.com/v1/tracks/2QLS6XnJFfBNPWgdK6K0BW	0.91
party	At the Party	76GmiIXjIjbkjB65fKDljA	38	2020	0.0951	https://api.spotify.com/v1/audio-analysis/76GmiIXjIjbkjB65fKDljA	0.728	175200	0.452	0	9	0.128	-9.525	0	0.0529	100.03	4	https://api.spotify.com/v1/tracks/76GmiIXjIjbkjB65fKDljA	0.597
